,actual,prediction,diff
0_From_Review_14,-73.0,-72.82361,0.1763916015625
2_From_Review_14,-73.0,-72.82361,0.1763916015625
0_From_Review_42,-223.0,-222.26602,0.733978271484375
3_From_Review_42,-183.0,-192.91402,9.914016723632812
5_SO3H_19,-115.74,-113.56325,2.1767523193359324
6_SO3H_19,-115.74,-113.56325,2.1767523193359324
8_SO3H_19,-121.94,-120.55709,1.382909240722654
9_SO3H_19,-121.94,-120.55709,1.382909240722654
11_SO3H_19,-123.7,-121.318375,2.3816253662109403
12_SO3H_19,-123.7,-121.318375,2.3816253662109403
14_SO3H_19,-127.39,-126.21394,1.176056518554688
15_SO3H_19,-127.39,-126.21394,1.176056518554688
17_SO3H_19,-82.49,-81.57016,0.9198400878906199
18_SO3H_19,-82.49,-81.57016,0.9198400878906199
19_SO3H_19,-82.49,-81.57016,0.9198400878906199
5_From_Review_307,-64.8,-65.80522,1.0052215576171903
6_From_Review_307,-64.8,-65.80522,1.0052215576171903
7_From_Review_307,-64.8,-65.80522,1.0052215576171903
4_Cl_3,-118.51,-119.006424,0.4964239501953074
5_Cl_3,-118.51,-119.006424,0.4964239501953074
7_Cl_3,-121.81,-120.30527,1.5047326660156273
8_Cl_3,-121.81,-120.30527,1.5047326660156273
10_Cl_3,-121.81,-120.91809,0.8919091796875023
11_Cl_3,-121.81,-120.91809,0.8919091796875023
13_Cl_3,-121.81,-120.70586,1.1041436767578148
14_Cl_3,-121.81,-120.70586,1.1041436767578148
16_Cl_3,-122.75,-120.70586,2.0441436767578125
17_Cl_3,-122.75,-120.70586,2.0441436767578125
19_Cl_3,-122.75,-122.6077,0.142303466796875
20_Cl_3,-122.75,-122.6077,0.142303466796875
22_Cl_3,-126.24,-126.21394,0.026056518554682384
23_Cl_3,-126.24,-126.21394,0.026056518554682384
25_Cl_3,-81.04,-80.003975,1.036025085449225
26_Cl_3,-81.04,-80.003975,1.036025085449225
27_Cl_3,-81.04,-80.003975,1.036025085449225
5_From_Review_308,-67.4,-65.11061,2.289389038085943
6_From_Review_308,-67.4,-65.11061,2.289389038085943
7_From_Review_308,-67.4,-65.11061,2.289389038085943
0_From_Review_123,-125.0,-125.12513,0.12512969970703125
0_From_Review_468,-129.0,-133.716,4.71600341796875
5_From_Review_468,-91.0,-100.98134,9.981338500976562
7_From_Review_468,-136.0,-134.43471,1.5652923583984375
2_From_Review_218,-95.0,-90.39238,4.6076202392578125
3_From_Review_218,-95.0,-90.39238,4.6076202392578125
5_From_Review_392,-123.1,-120.01289,3.087106323242182
6_From_Review_392,-123.1,-120.01289,3.087106323242182
8_From_Review_392,-206.0,-202.29178,3.708221435546875
10_From_Review_392,-73.0,-69.70505,3.294952392578125
11_From_Review_392,-73.0,-69.70505,3.294952392578125
12_From_Review_392,-73.0,-69.70505,3.294952392578125
2_From_Review_220,-109.0,-106.46329,2.536712646484375
3_From_Review_220,-109.0,-106.46329,2.536712646484375
4_COOH_30,-120.16,-118.90608,1.253917846679684
5_COOH_30,-120.16,-118.90608,1.253917846679684
7_COOH_30,-122.69,-120.695435,1.9945654296874977
8_COOH_30,-122.69,-120.695435,1.9945654296874977
10_COOH_30,-122.69,-120.91809,1.7719091796874977
11_COOH_30,-122.69,-120.91809,1.7719091796874977
13_COOH_30,-122.69,-120.70586,1.9841436767578102
14_COOH_30,-122.69,-120.70586,1.9841436767578102
16_COOH_30,-122.69,-120.70586,1.9841436767578102
17_COOH_30,-122.69,-120.70586,1.9841436767578102
19_COOH_30,-122.69,-120.70586,1.9841436767578102
20_COOH_30,-122.69,-120.70586,1.9841436767578102
22_COOH_30,-123.7,-120.70586,2.9941436767578153
23_COOH_30,-123.7,-120.70586,2.9941436767578153
25_COOH_30,-124.05,-122.6077,1.4423034667968722
26_COOH_30,-124.05,-122.6077,1.4423034667968722
28_COOH_30,-127.27,-126.21394,1.0560565185546835
29_COOH_30,-127.27,-126.21394,1.0560565185546835
31_COOH_30,-82.37,-81.57016,0.7998400878906295
32_COOH_30,-82.37,-81.57016,0.7998400878906295
33_COOH_30,-82.37,-81.57016,0.7998400878906295
0_From_Review_480,-171.0,-164.16226,6.837738037109375
5_From_Review_480,-122.0,-126.83004,4.830039978027344
7_From_Review_480,-195.0,-190.64651,4.353485107421875
4_Cl_1,-119.47,-119.233734,0.23626586914062386
5_Cl_1,-119.47,-119.233734,0.23626586914062386
7_Cl_1,-127.24,-123.36906,3.8709432983398386
8_Cl_1,-127.24,-123.36906,3.8709432983398386
10_Cl_1,-81.04,-81.6676,0.6276025390624937
11_Cl_1,-81.04,-81.6676,0.6276025390624937
12_Cl_1,-81.04,-81.6676,0.6276025390624937
7_From_Review_254,-117.0,-115.66823,1.3317718505859375
8_From_Review_254,-117.0,-115.66823,1.3317718505859375
4_From_Review_320,-60.0,-61.353165,1.3531646728515625
5_From_Review_320,-60.0,-61.353165,1.3531646728515625
6_From_Review_320,-60.0,-61.353165,1.3531646728515625
4_other_8,-111.1,-113.10828,2.0082763671875057
5_other_8,-111.1,-113.10828,2.0082763671875057
7_other_8,-121.3,-118.890884,2.4091156005859347
8_other_8,-121.3,-118.890884,2.4091156005859347
10_other_8,-122.27,-121.61272,0.6572833251953085
11_other_8,-122.27,-121.61272,0.6572833251953085
13_other_8,-122.27,-122.6077,0.337696533203129
14_other_8,-122.27,-122.6077,0.337696533203129
16_other_8,-125.45,-126.21394,0.7639434814453097
17_other_8,-125.45,-126.21394,0.7639434814453097
19_other_8,-80.0,-80.003975,0.00397491455078125
20_other_8,-80.0,-80.003975,0.00397491455078125
21_other_8,-80.0,-80.003975,0.00397491455078125
7_other_3,-113.35,-112.79544,0.5545593261718693
8_other_3,-113.35,-112.79544,0.5545593261718693
10_other_3,-121.64,-119.48806,2.151940002441407
11_other_3,-121.64,-119.48806,2.151940002441407
13_other_3,-121.64,-121.61272,0.02728332519531307
14_other_3,-121.64,-121.61272,0.02728332519531307
16_other_3,-121.64,-120.70586,0.9341436767578131
17_other_3,-121.64,-120.70586,0.9341436767578131
19_other_3,-121.64,-120.70586,0.9341436767578131
20_other_3,-121.64,-120.70586,0.9341436767578131
22_other_3,-121.64,-120.70586,0.9341436767578131
23_other_3,-121.64,-120.70586,0.9341436767578131
25_other_3,-122.54,-120.70586,1.8341436767578188
26_other_3,-122.54,-120.70586,1.8341436767578188
28_other_3,-123.44,-122.6077,0.8323034667968727
29_other_3,-123.44,-122.6077,0.8323034667968727
31_other_3,-125.93,-126.21394,0.2839434814453057
32_other_3,-125.93,-126.21394,0.2839434814453057
34_other_3,-80.56,-80.003975,0.556025085449221
35_other_3,-80.56,-80.003975,0.556025085449221
36_other_3,-80.56,-80.003975,0.556025085449221
41_other_3,-113.35,-112.79544,0.5545593261718693
42_other_3,-113.35,-112.79544,0.5545593261718693
44_other_3,-121.64,-119.48806,2.151940002441407
45_other_3,-121.64,-119.48806,2.151940002441407
47_other_3,-121.64,-121.61272,0.02728332519531307
48_other_3,-121.64,-121.61272,0.02728332519531307
50_other_3,-121.64,-120.70586,0.9341436767578131
