,0,1,2,3,4,5,NMR_Peaks,OnRing,OnRing,NotOnRing,O-C(F)=C-
2_From_Review_146,['C'],"['C', 'C']","['H', 'H', 'I', 'H', 'H']",[],[],[],-97,,,-97,
2_From_Review_147,['C'],"['C', 'Cl']","['H', 'H']",[],[],[],-68,,,-68,
0_From_Review_148,['C'],"['C', 'H']","['Cl', 'H']",[],[],[],-131,,,-131,
0_From_Review_149,['C'],"['C', 'H']","['Cl', 'H']",[],[],[],-128,,,-128,
0_From_Review_150,['C'],"['C', 'H']","['Cl', 'Cl']",[],[],[],-122,,,-122,
0_From_Review_151,['C'],"['Cl', 'C']","['Cl', 'Cl']",[],[],[],-80,,,-80,
0_From_Review_152,['C'],"['C', 'H']","['F', 'O']",['C'],"['F', 'F', 'F']",[],-188,,,-188,
3_From_Review_152,['C'],"['C', 'O']","['F', 'H', 'C']","['F', 'F', 'F']",[],[],-132,,,-132,-132
0_From_Review_153,['C'],"['C', 'H']","['F', 'O']",['C'],"['F', 'F', 'F']",[],-180,,,-180,
3_From_Review_153,['C'],"['C', 'O']","['F', 'H', 'C']","['F', 'F', 'F']",[],[],-105,,,-105,-105
3_From_Review_154,['C'],"['O', 'C']","['C', 'C', 'H']","['H', 'H', 'H', 'C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']",-88,,,-88,-88
5_From_Review_155,['C'],"['C', 'C']","['C', 'H', 'H', 'F', 'H']","['C', 'H', 'H']","['C', 'H', 'H']","['H', 'H', 'H']",-160,,,-160,
7_From_Review_155,['C'],"['C', 'H']","['C', 'F']","['C', 'H', 'H']","['C', 'H', 'H']","['C', 'H', 'H']",-184,,,-184,
0_From_Review_156,['C'],"['C', 'H']","['F', 'Cl']",[],[],[],-174,,,-174,
3_From_Review_156,['C'],"['C', 'Cl']","['F', 'H']",[],[],[],-130,,,-130,
0_From_Review_157,['C'],"['C', 'H']","['F', 'Cl']",[],[],[],-156,,,-156,
3_From_Review_157,['C'],"['C', 'Cl']","['F', 'H']",[],[],[],-105,,,-105,
0_From_Review_158,['C'],"['Cl', 'C']","['F', 'Cl']",[],[],[],-120,,,-120,
4_From_Review_158,['C'],"['C', 'Cl']","['F', 'Cl']",[],[],[],-120,,,-120,
0_From_Review_159,['C'],"['Cl', 'C']","['F', 'Cl']",[],[],[],-106,,,-106,
4_From_Review_159,['C'],"['C', 'Cl']","['F', 'Cl']",[],[],[],-106,,,-106,
0_From_Review_160,['C'],"['C', 'H']","['F', 'I']",[],[],[],-159,,,-159,
3_From_Review_160,['C'],"['C', 'I']","['F', 'H']",[],[],[],-134,,,-134,
0_From_Review_161,['C'],"['C', 'H']","['F', 'I']",[],[],[],-136,,,-136,
3_From_Review_161,['C'],"['C', 'I']","['F', 'H']",[],[],[],-109,,,-109,
0_From_Review_162,['C'],"['C', 'H']","['F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']",-175,,,-175,
3_From_Review_162,['C'],"['C', 'C']","['F', 'H', 'C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['H', 'H']",-167,,,-167,
