,actual,prediction,diff
14_I_7,-121.77,-122.94206568310574,1.1720656831057426
15_I_7,-121.77,-122.94206568310574,1.1720656831057426
17_I_7,-121.77,-122.94206568310574,1.1720656831057426
18_I_7,-121.77,-122.94206568310574,1.1720656831057426
20_I_7,-121.77,-122.94206568310574,1.1720656831057426
21_I_7,-121.77,-122.94206568310574,1.1720656831057426
23_I_7,-121.77,-122.94206568310574,1.1720656831057426
24_I_7,-121.77,-122.94206568310574,1.1720656831057426
26_I_7,-121.77,-122.94206568310574,1.1720656831057426
27_I_7,-121.77,-122.94206568310574,1.1720656831057426
29_I_7,-120.97,-122.18560819123348,1.2156081912334855
30_I_7,-120.97,-122.18560819123348,1.2156081912334855
32_I_7,-113.26,-123.76002919513625,10.50002919513625
33_I_7,-113.26,-123.76002919513625,10.50002919513625
35_I_7,-60.03,-55.73112670421424,4.298873295785761
36_I_7,-60.03,-55.73112670421424,4.298873295785761
4_From_Review_366,-64.0,-74.53210010326829,10.532100103268291
5_From_Review_366,-64.0,-74.53210010326829,10.532100103268291
6_From_Review_366,-64.0,-74.53210010326829,10.532100103268291
0_From_Review_1,-220.0,-210.03496041928886,9.965039580711135
0_From_Review_156,-174.0,-172.25160666126686,1.7483933387331376
3_From_Review_156,-130.0,-116.26069280375393,13.739307196246074
10_aromatics_1,-60.02,-57.904307739992426,2.1156922600075774
11_aromatics_1,-60.02,-57.904307739992426,2.1156922600075774
12_aromatics_1,-60.02,-57.904307739992426,2.1156922600075774
2_From_Review_145,-101.0,-133.02644005744853,32.026440057448525
10_From_Review_312,-78.0,-75.23742775724176,2.762572242758239
11_From_Review_312,-78.0,-75.23742775724176,2.762572242758239
12_From_Review_312,-78.0,-75.23742775724176,2.762572242758239
0_From_Review_462,-99.0,-94.31097945505698,4.68902054494302
6_From_Review_462,-63.0,-84.68505296693347,21.68505296693347
3_From_Review_142,-109.0,-136.3526069870968,27.352606987096806
4_ether_20,-120.77,-123.55034430311588,2.780344303115882
5_ether_20,-120.77,-123.55034430311588,2.780344303115882
7_ether_20,-128.46,-120.96140983985883,7.498590160141177
8_ether_20,-128.46,-120.96140983985883,7.498590160141177
10_ether_20,-86.9,-95.40398465715397,8.503984657153964
11_ether_20,-86.9,-95.40398465715397,8.503984657153964
14_ether_20,-56.75,-52.629664373785225,4.120335626214775
15_ether_20,-56.75,-52.629664373785225,4.120335626214775
16_ether_20,-56.75,-52.629664373785225,4.120335626214775
9_From_Review_47,-121.0,-132.77325263000174,11.773252630001735
5_From_Review_434,-121.0,-128.43918178039456,7.439181780394563
6_From_Review_434,-121.0,-128.43918178039456,7.439181780394563
8_From_Review_434,-93.0,-121.07882727581006,28.078827275810056
9_From_Review_434,-93.0,-121.07882727581006,28.078827275810056
12_From_Review_434,-93.0,-88.73045429814763,4.2695457018523655
13_From_Review_434,-93.0,-88.73045429814763,4.2695457018523655
15_From_Review_434,-88.0,-100.92085799886502,12.920857998865017
16_From_Review_434,-88.0,-100.92085799886502,12.920857998865017
19_From_Review_434,-88.0,-106.85420564918427,18.854205649184266
20_From_Review_434,-88.0,-106.85420564918427,18.854205649184266
22_From_Review_434,-93.0,-103.19342224827693,10.193422248276931
23_From_Review_434,-93.0,-103.19342224827693,10.193422248276931
6_From_Review_288,-63.0,-67.9104617960887,4.910461796088697
7_From_Review_288,-63.0,-67.9104617960887,4.910461796088697
8_From_Review_288,-63.0,-67.9104617960887,4.910461796088697
0_From_Review_387,-146.0,-173.91038817334834,27.910388173348338
4_From_Review_387,-89.5,-92.95170549872984,3.4517054987298366
5_From_Review_387,-91.2,-92.95170549872984,1.7517054987298337
7_From_Review_387,-87.0,-83.37529223617666,3.624707763823338
8_From_Review_387,-87.0,-83.37529223617666,3.624707763823338
9_From_Review_387,-87.0,-83.37529223617666,3.624707763823338
